State/District/Pincode,Year,Quarter,Registered_Users
791109,2020,1,4808
792110,2020,1,4690
papum pare,2020,2,59968
west kameng,2020,2,15766
changlang,2020,2,14036
east siang,2020,2,13601
lohit,2020,2,10154
tawang,2020,2,8993
namsai,2020,2,7426
west siang,2020,2,7239
lower dibang valley,2020,2,5782
lower subansiri,2020,2,5392
791110,2020,2,18699
791111,2020,2,17137
791113,2020,2,11777
791102,2020,2,11547
792103,2020,2,8648
791001,2020,2,8304
792001,2020,2,7106
790104,2020,2,6860
792110,2020,2,5825
791109,2020,2,5521
papum pare,2020,3,69419
west kameng,2020,3,17636
changlang,2020,3,16385
east siang,2020,3,15921
lohit,2020,3,11755
tawang,2020,3,9944
west siang,2020,3,8623
namsai,2020,3,8553
lower dibang valley,2020,3,6799
lower subansiri,2020,3,6456
791110,2020,3,21772
791111,2020,3,19597
791113,2020,3,13723
791102,2020,3,13422
792103,2020,3,9996
791001,2020,3,9880
792001,2020,3,8196
790104,2020,3,7622
792110,2020,3,6844
791109,2020,3,6404
papum pare,2020,4,77936
west kameng,2020,4,19464
changlang,2020,4,18203
east siang,2020,4,17822
lohit,2020,4,13126
tawang,2020,4,10909
west siang,2020,4,9911
namsai,2020,4,9437
